,Content
7633,"Awful. Rude and unhelpful immigration staff. Awful queue organisation. Poor number of booths open for the volume of passengers, waited well over 90 minutes without any information. Poor facilities once through immigration. All bags removed from carousel it took so long."
7639,"Had the most expensive 'few food items' from one of the food outlets before going to the gate. There were four of us, two of us had a sandwich, two of us had a pasta-in-a-plastic-box; we had a bottle of drink each and one bag of sweets and it came to £91! I'm all for making a profit but that's taking the p***! Don't buy food at the airport; eat before you go or take a load of money with you."
7652,"Awful airport. Nothing open, small and tired decor and facilities. Bad food outlets, no lounge and no information."
7663,Little of no option to buy food apart from Starbucks.
7668,"Some parts of the terminal are better than others. Very cold inside (AC turned up). Decent selection of news stores, but bad selection of restaurants."
7672,"Hated this airport. The staff was rude, unhelpful, offered me a wheelchair because I was Deaf! The staff was highly uncoordinated, one didn't even know they offered flights via Norwegian Air! Worst airport ever. No food before security either."
7683,Needs a remodel. Dirty. Employees don’t seem to care that work at the small restaurants. Terminal A is horrible
7688,"Very small airport, which makes it nice for getting through security quick and easy, not much on the other side though, so pack your snacks."
7691,"International Arrival is in another building. There are no facilities when you get out. Make sure your pickup knows where the international arrivals area is located. Outbound - there isn't a lot of selection in the terminal. It's pretty barren, make sure you eat something or grab food before you get to the terminal. It's all a bit sad."
7692,Arriving into the customs building there are two flights at the same time most nights (Aeromexico and Volaris). Why they don't make them separate by an hour beats me! It was very slow although they did their best. Inefficient airport facility though as the main terminals are underutilized.
7695,"Pretty far from everything, but a decent alternative to fly into LA/OC area."
7700,F A B
7713,Hated this airport! I hate the 45 minute check in and security lines. I can see why alligent made a hub here because they both charge you for the air you breath. Anything you buy here is expensive and seating is non existent in this crowded airport. I was going to have to drive 2 hours over to Melbourne that day anyway. I much prefer MLB or MCO.
7714,Signage to the airport is very confusing. Had to loop around to figure out where long term parking actually was. Very long walk from parking to the terminal. Inside the airport is very confusing. Maze of poorly marked long corridors. Only 2 places were open to eat at 11 am. I'd prefer to use DAB or MCO.
7717,"(Terminal A) The terminal was very small and dark. Poor lighting for an early morning departure. Check in was fine, and security went quick however we were at the front of the line and there are only 2 metal detectors. Bad wifi connection and not clearly labeled. Very few open stores and a minimalist food court. There was one window to look out of and Terminal B was poorly sign posted. (Terminal B) After a gate change we ended up in Terminal B. It was a lot brighter and more food and retail options. If you cant find anything in A, go to B. It is just down a corridor past the gate area."
7719,"Pretty poor airport. Duty free looks good. Food is virtually non existant. There is an eatery but the food doesn't look fresh. Big area to sit in with one bar at the far end, a bit pricy though. There is an outside smoking area which overlooks the runway and the scrap yard area for planes. Other than allegiant there are very few airlines using Sanford. Monarch have ceased all long haul and Thomas Cook now use Orlando, which I feel is a far better airport"
7723,One food line was 45min for to go and the other was 25min. Food is high priced and long lines. Need more options. Clear was all the way across the terminal and going through precheck was faster without it.
7726,"The best little airport. The outside walk between Check-In / Baggage area and the two terminals is great. Parking Drop-off and car rentals are just a few steps or a short walk away. Only problems sometimes, a queue at security and no lounges."
7736,"Domestic air travel is terrible. I paid for Business Class and received absolutely nothing for the additional expense. I was assigned standard seating in the 12th row over the exit window, and received exactly the same accommodations that everyone else was offered on board."
7739,"Lot of construction (hopefully after that, this airport will look slightly better). Doesn't have CLEAR. Lounges not open"
7742,"Trenton Mercer is a tiny airport, the terminal is basically one big room. The plus side is that security and check in are really fast, but at the gate it was super crowded. Took us 10 minutes for us to find a seat."
7743,"Baggage check-in chaos. People missing flights because of waiting times. NO public transportation to airport, long, long walk from bus or septa especially with even minimalist luggage. TTN is way beyond start-up problems, need to get their act together."
7764,"Waited in line for 40 minutes in the TSA Pre-check line because they were only using 1 lane in the ""alternate screening area""... Was directed there by a TSA officer, who said the lines were significantly shorter (which was blatantly untrue)"
7774,"Check-In was a breeze and the agents were friendly. Gate had trash on the seats and floor. Gate agents boarded wayyyy too slow. Terminal facilities were mostly closed. One small gift shop had a line of 8 people because there was just one employee, and he was very slow. He admitted that he was just waking up. With 4 Gate agent, only two were actully working."
7780,Good gateway to Maine .
7811,Back to the School for Officer Training.
7812,Fast baggage delivery and free wifi.
7835,"This airport is about as bad as LHR. TONS of walking just to get to your gate if you aren't flying Delta. If you fly American, do NOT arrive any time earlier than 4 hours. you'll only be wasting your time, as they won't print out your checked baggage tags. I was lucky this time. You MIGHT be able to check earlier, but it's a big toss of the coin."
7837,Horrible setup. No train between concourses. Long walk. One flight involved a long walk down scaffolding and then a bus to the plane.
7838,"This airport is extremely crowded, it is still under construction, meaning you have to walk via an underground tunnel between concourse A and concourse B which will take you 15 to 20 minutes, depending how many pax you have to dodge. There is only ONE tunnel that connects the two concourses. The gate areas are over crowded, the gate lice over flow into the walk ways."
7839,"This airport is extremely crowded, it is still under construction, meaning you have to walk via an underground tunnel between concourse A and concourse B which will take you 15 to 20 minutes, depending how many pax you have to dodge. There is only ONE tunnel that connects the two concourses. The gate areas are over crowded, the gate lice over flow into the walk ways."
7840,"This airport is extremely crowded, it is still under construction, meaning you have to walk via an underground tunnel between concourse A and concourse B which will take you 15 to 20 minutes, depending how many pax you have to dodge. There is only ONE tunnel that connects the two concourses. The gate areas are over crowded, the gate lice over flow into the walk ways."
7841,"This airport is extremely crowded, it is still under construction, meaning you have to walk via an underground tunnel between concourse A and concourse B which will take you 15 to 20 minutes, depending how many pax you have to dodge. There is only ONE tunnel that connects the two concourses. The gate areas are over crowded, the gate lice over flow into the walk ways."
7857,"Security is pretty rough with only 2 check lanes, sometimes only one. Pre-check doesn’t really exist, it’s integrated with the normal lines. They have you wait like 20 passengers per and then take pre check for a minute or two. Construction outside the airport is kind of bad too, getting backed up often."
7861,Small and crowded airport. To change planes I had to leave secure area and then go through security again since gates are not connected by secure passageways. WiFi dropped several times as I moved from one set of gates to another.
7865,Very discouraging to have no food or beverage options at the AS AA ticket counter area. SBUX has been closed for a few years.
7870,"All escalators at rental carsstation of skytrain in maintance at same time? Why not, who would be on place like that with big luggage.. Baggage drop off also have original system. You have to print the bagagae tracking sticker yourself on kiosk. Then wait about 3m from the counter until employee takes it from you."
7885,The airport is tiny. The custom is extremely inefficient. It took an hour to process 20 people. The most unfriendly custom I have ever seen.
7896,I love smaller airports like SNA. They are so much easier to get in and out than monstrosities such as LAX.
7898,"New gates almost done,"
7913,"While I realize the airport is under construction and has been for some time, signs directing travelers to the places they need to be (checkin counters, TSA Checkpoints, etc) are not exactly informative. Flying from the North Terminal (Southwest), the temporary walls prohibit visibility to the airline checkin counters and cause excessive searching along the narrow passageway. Also, the way lines are set up for CLEAR and TSA Pre Check are at best, confusion and create confusion with travelers using those access points. I entered using the CLEAR line that does not go to TSA Pre Check, as the confusion created an exceptionally long line for the CLEAR access to TSA Pre Check. Hopefully, this airport will be greatly improved when the construction is completed."
7916,"Customs was extremely slow even with MPC. I haven’t been in customs that slow in literal years. After customs, there was a single TSA line open for connecting to domestic flights that took about 30 minutes to get through even with only a few people in front of me. It turns out, I could’ve just followed the signs to exit then gone in through regular security (and used my PreCheck) but the workers didn’t say anything about that until we were 4th in line. On top of all that, the TSA workers were massive power tripping douchebags. Never had a worse TSA experience."
7918,"The terminal looks very 80s in some parts the Delta staff were slow, the machines were broken and the baggage claim screens only show Alaska Airlines"
7919,Extremely unfriendly homeland security staff who did not allow me to enter and did not give me any reason for the revocation of my visa.
7937,"Bad airport, confusing to get to. Terminal is outdated and likely from the 70s. Some of the rudest TSA agents I've dealt with even with Pre-check. terminal has little shopping and food, and doesn't have a Skyclub. Overall disappointing airport."
7948,"Easy to get to. Issue is lounges and the lack of them. Amex and piroty pass is useless. The airport is old and has lots of leaking pipes. Besides that it's clean and usable. It reminds me of old, lga. If you have access to admirals club or are military personal. Lounges aren't a issue."
7951,"The rental car facilities are a nightmare - on the other side of the highway, rocky shuttle ride to/from the terminal, and confusing signage of how to get back to return the car. The terminal itself doesn't have much to offer food-wise (at least not the A gate (UA/DL), other than sit-down restaurants. I recommend Vino Volo as it seems to have a smaller crowd but the food is actually quite tasty (if on the expensive side). No lounge available except for an independent one in the other (Southwest Airlines) terminal. This airport was better way back in the day when it was a TWA hub, to be honest. Just not very impressive for a city of St. Louis' caliber."
7965,"Really small airport with nothing exciting, only plus is that TSA times are really quick. No reason to be called an international airport."
7967,"Honestly, KTLH is just about the worst airport, ever. The city of Tallahassee itself isn't much to write home about, but the outdated airport with an ""international"" designation makes it worse. It's tiny, it looks like it came straight out of the 1970s, and the interior has been ""renovating"" for quite some time now. The flights are stupid expensive, your only options are Silver, Delta Connect, and American Eagle, and if you don't want to go to Atlanta, you'd better like tiny aircraft. If you can, avoid TLH at all costs."
7969,The airport and its access points are impeccable. UNITED onboarding service: OK Security check: it looks like a western where cows are herded. Elderly people or on the verge of abuse No UNITED Lounge for holders of a Business ticket pompously called First.
7977,"Traffic was terrible en route to the airport, check in took 45 minutes due to computer issues. Security was rude and didn't seem to care, they didn't ask to empty bags at all, they weren't even watching the bags on the machines. Most of the restaurants were ""closed"" and the boarding announcments never happened so we almost missed our flight."
7990,Last on Plane
7991,"Medium sized regional airport with UA, AA, DL, and WN hub service on a mix of Regional and Mainline metal. Also Allegiant and Frontier service. Older terminal that could use some upgrades. Clean and well kept, however. Rental car return was odd, as it's unclear where to go to return the car to the right company. You then walk into the airport on the departures level, but have to go downstairs to the airline checkin counters, which are also a little hard to find. Back upstairs for security, which is fairly standard; one line for Precheck and most of the space for non-Precheck. Plain vanilla past security with a few shops and restaurants; not sure if there is a lounge but not one that I could use. Gate areas have clean seats and are well lit; boarding is quick and easy enough."
8000,"The worst immigration experience ever. 2 hours queuing, hundreds of people, no place to sit, not able to go to the toilets without losing one’s place in the queue, no water. A total lack of information and respect from US CBP vis-a-vis both visitors and US residents! Most countries do a much better job (just go North of the border to Canada)…"
8024,nice
8026,"Small, simple airport. Easy in, easy out. Not much to do inside though, if you are stuck"
8031,Airport is too small for the amount of flights it is serving. Waiting area is communal for all gates. It was standing room only for six hours of delays. All food sandwiches ran out at the one available food place on the secure side.
8045,"There are barely any food options when headed to gates 1-12. Also, Dunkin donuts always has a super long line. It's best to eat before arrival to the airport, it saves you money, and alleviates the lack of options."
