,Content
7055,Small airport but check in and going through security is a breeze. Usually it's not very crowded and plenty of seats are available.
7056,Small airport but check in and going through security is a breeze. Usually it's not very crowded and plenty of seats are available.
7057,Super small and brand new. Security lines are either small or empty.
7059,The security line is really fast and there are decent food options not too far from wherever you may be in the airport. Good public transit access.
7060,"its crusty, dirty, and overall represents baltimore very well. Baggage claim SUCKS, I had to wait 1 hour+ for my bag Nice mcdonalds tho"
7061,I love this airport because of the big windows that let you look to everything that is happening outside. Take your time to wander around and explore. There are also things to see even though you are not flying.
7062,"Getting Through Airport: Nice, and easy, but crowded due to midday rush Check-In: No check-in! Connecting flight :) Security: No security, connecting flight :) Terminals: Decorated, nice and spacious, got rid of the rocking chairs by the windows though :( But it is easy to navigate :) WiFi: WiFi was smooth but lagged in between times Food and Retail: Plenty of choices with quick and easy service Lounge: No lounges :( But seating area is nice :)"
7063,"Getting Around Airport: Easy with the walkways and signs, it is a cool airport to walk through and has LONG Terminals Terminals: They were nice and clean, had art on the wall and had shops around every corner, as well as Southwest planes :) WiFi: WiFi was quick and smooth but froze in between times Food/Retail: Food was great, had lots of options Lounge: No lounge that I could find :( Immigration/Customs: Stayed in America. No Customs :) Baggage Claim: connecting flight. No baggage claim :) Overall a nice time"
7064,"Immigration was ok but the queue went slow, all 15-20 foreigners had to go through one officer; they've periodically halt the queue to let the US citizens pass, despite there were several other queues solely for them"
7065,"A bit difficult to get to from DC, but other than that a great experience. My usual way from DC is Metrorail -> MARC Penn line to BWI station -> Shuttle bus to BWI. I think the food and retail services here could be a bit better."
7066,"BWI to me is ""an"" airport. I wouldn't recommend a connection here longer than 3 hours as you will be bored out of your mind wandering back and forth through the endless halls of southwest gates with the only distinguishing feature telling you if you are in Concourse A or B being if you passed the Coffee Shop or Jamba Juice. With that being said, there are some nice views and comfortable areas to chill out while waiting for your flight. There are more than enough food options, including multiple full sitdown restaurants, which I did not try, but they did smell very good. All in all, BWI is an airport I try to spend a minimal amount of time in, but if i am stuck here, its not the worst thing in the world."
7067,"Very nice terminal and services, sadly several food venders were closed or were very slow. We had to wait over half an hour on the ground for our gate to open up, and what was supposed to be a 1-hour layover turned into a 10-minute mad dash to catch my connection. Luckily it was delayed too. Delays were due to slow ground handling (according to the WN crew)"
7068,"It always feels to me like Southwest, more so than any other major US carrier, packs as many people as can uncomfortably fit into its hub airports/terminals."
7070,"Again, TSA is not customer friendly. They actually treat us as if we are an inconvenience. This attitude starts at the top, so maybe they need new leadership in the sector. Baggage claim equipment is good. Alaska personnel are slow."
7071,"BLI is a small airport and easy to travel out of whether you are a US Citizen or from Canada. I, like most people, don't like being treated like dumb cattle by the Thousands Standing Around people. They need to grow a smile. You can still have good security and not be a unpleasant."
7072,"Great little airport with cheap onsite parking. Security is a breeze, terrific restaurant and bar, free wi-fi. While crowded at times, it's still easy enough to get through the masses in record time. Construction is complete, and it's become my favorite airport to travel in and out of."
7074,Small airport. They were doing expansion when I was there.
7075,"Very nice staff, but very old fashioned facilities"
7076,"Incredible airport. Very well set up, nicely organized, open layout with great ramp views. Absolutely amazing."
7077,"Pretty good little regional airport. 17 gates with hub service on regional jets by UA, AA, and DL. Also A320 service on Allegiant to a couple of holiday destinations. The usual rental car counters (most lacking express service like National Emerald Aisle), two bag claim carousels with reasonably speedy service, a few restaurants and the obligatory public art and advertisements for local attractions. Pretty much what you'd expect from a regional airport."
7078,Awesome airport. Love spotting and traveling here. Sports charters sometimes and great facilities. 5 out of 5
7079,"This is a fairly new airport, very clean. Still has that ""new airport"" smell. Parking options need work but they're getting better (parking deck under construction). Food options limited but decent. Wifi works well enough to be useful. Clean."
7080,"NICE AIRPORT,GOOD FOOD."
7081,Kinda cool and Spiacoys like a mall I would recommend for anyone visiting Alabama or is moving to alabama
7082,"I was the only person at the security line, which was really nice -- there's not a whole lot going on once you get past the checkpoint, but it's a nice, modern-looking facility"
7083,"Very fast security, it was not crowded at all. Maybe the nicest security I’ve ever interacted with. Everything was open that would be that time of day. I was very satisfied with the airport in BHM."
7084,Birmingham Airport is a little airport wedged in between a set of small mountains that is perfect for commerce.
7085,Much improved post-renovations. Actually more than tolerable now!
7090,I love this airport. It’s not too big so the time from baggage drop to the gate takes very little time. Security is quick and easy. Best of all the TSA agents are generally all really nice and down to earth. Plenty of food options and wifi is super fast. It’s a low key place that operates with big airport efficiency.
7091,"Smaller airport but very nice, clean, well kept and easy to get from check-in to the gate. I really enjoy traveling in/out of Boise Gowen Fld."
7092,"Boise Airport is small, easy to navigate and spacious enough for the size of crowds transiting this facility. No large planes coming/going... all 737 / A320's and smaller commuter jets and turbo props, like Horizon Air."
7093,"Easy to navigate as it is a very small airport. The rental car return location was within a walking distance of the terminal so it made convenient to get to the airport. Great airport to fly out of, food is a little less as you only have 2-3 selections to choose from but overall a nice little airport."
7094,"I am local to this airport, so I don't really stay there for very long, but in my stay there, I have found a nice terminal with some food options, and I don't really get why you can polish your shoes there. Nice airport in general, can't wait to see an expansion!"
7096,"PRICES ARE RIGHT, OLD AIRPORT BUT NICE WELL KEPT."
7097,"The new Delta lounge in Terminal E is one of the best lounges I've ever been to. Great views of Boston, huge space with high ceilings, private spaces, and showers."
7098,"Review is limited to Terminal A. Haven't flown through this terminal in over a decade but it remains a very modern airport terminal with spacious seating, windows overlook tarmac and easy directions. Arrival was at the A12-A21 concourse which is accessible via a long underground walkway beneath the tarmac. Departure was from main terminal concourse. Plenty of dining options at both concourses. Terminal was very busy given the snowstorm and delayed flights. WiFi was easy to log onto and fast. Kudos to Logan airport snow clearing crews and the crews de-icing planes. Our flight to DFW was delayed but we managed to take off. Throughout the storm planes kept taking off and landing."
7099,"Upon arrival we had to grab our bags, go to a different building (go outside first) and through strange hallways, we got to the JetBlue area, where we had to re-check the bags and go through security again. We had 50 minutes between arrival and the doors closing for the next flight. Luckily we had Global Entry."
7100,"Compared to JFK which I flew put of in July, Boston terminal C was so much better in terms of security check. It literally took me a maximum of 5 mins to get through with no queues. However, there was quite a trek to get to the main duty-free areas from the gates and there wasn't many facilities."
7101,"I have been to Boston Logan Airport many times, normally to watch planes. But I don’t go to Logan Airport to fly a plane often. The airport is easy to get to with easy to understand signage on the road. I like this airport! Keep up the good work!"
7103,"First time traveling through Terminal B since its refurbishment. Once you clear security, one enters a new Great Hall with 75,000 sq feet of new space and 70,000 sq feet of existing space. All gates connect post security. The refurbished space is a world class modern airport terminal. It is spacious, brightly lit with plenty of seating and dining options aplenty. There are oodles of power ports and USB ports in the dining area. Bathrooms have occupancy lights and were generally clean for the most part. WiFi connectivity was okay. The concourses are wide and directions easy to follow. However the area near my departure gate was rather narrow and very crowded"
7104,Boston Logan is an ok airport and is sort of easy to navigate. They have an extremely long wait time in customs so if you have a short layover you are screwed.
7105,"Always a pleasure traveling through Logan - the only down side is the fact that immigration lines are always long - at least an hour! but the staff handle it well and as a positive, your checked bags are always waiting for you by the time you get through!"
7106,"Boston Logan Airport is Probably One of the Best Airports on the East Coast, perfectly placed in Boston and accessible by Public Transport"
7107,"Very pretty, western/log cabin feel with lots of warm woods, carpet, and local art. Smaller regional airport with two terminals/12 gates. No lounges but a couple of restaurant/bars and gift shops. TSA only has 4 lanes and can take a while when it's busy."
7108,"Beautiful, small, modern airport, Western decor. Rental garage attached to terminal, super easy to get out and in, fast TSA. A++"
7109,"Very friendly people and very lovely airport, though short time staying here and believe that we will be here again when go to Yellowstone then. Hope that everything could remain after decades of years, love this airport so much."
7111,"Did not spend much time here but overall it was pretty good. Also, WWWWWWWWWWWWWWWWHHHHHHHHHHHHHHHHHYYYYYYYYYYYYYYYYYY does this have to be 100 characters long?"
7112,"Overall good facilities, a very nice modern feel and great views of aircraft parked at the terminal. There are plenty of food options for travelers waiting for a departing flight, and lines are very short if you arrive early for your flight. I arrived about an hour and a half early for my flight and there was literally no line for TSA or most food options, with the exception being Tim Hortons, which had a short line that quickly grew into a line long enough to deter most other passengers from getting coffee. All in all, I love flying out of Buffalo and have no real complaints about this wonderful airport."
7113,"They stopped selling the Intense Milk chocolate milk, quite upset. other than that, the experience was great, and if you get there early, most people are checking bags so you can slide through security very easily."
7114,Very well run airport with wide concourses and lots of seating. Plus they have the original buffalo wing.
7115,"Easy terminal to navigate, current amenities are sufficient for an airport of this size but could definitely use a refresh (seating, flooring, walls, lighting, etc)... The new lounge is a welcome addition, albeit somewhat hindering if you're apart of any airline rewards program with lounge access, as this lounge is not compatible with any membership but has its own program..."
7116,"Very little information was provided on delayed and cancelled flights on screens. If you didn't hear announcement, it was very difficult to get more information. On screen was only indicated delay, but no time whatsoever. On screen at the gate were commercials, but no information on flight or delay."
7117,"Getting to the airport was OK, nice NFTA bus service from downtown (line 24), very efficient and for just $2. Check-in machine was not reading my passport and do not accept my reservation number, but check-in at the counter was very fast and efficient with a big added smile. Good points for the Delta. Security is bad at Buffalo, I have not been selected for TSA-Pre (unlike on JFK two days before) and went through normal procedure. Even worse, this was my second time departing from BUF and again a special precautions have been applied to me. But finally everything was OK. 45' complimentary Wi-Fi worked OK and is more than enough for waiting at such small, familiar and straightforward airport."
7118,Wonderful airport!! Very friendly staff!! Helped me find the Anchor Bar had the best chicken wings ever!! This airport was very clean and easy to navigate!! Two thumbs up for Buffalo!! Will be happy to get back here again soon!!!!!
7121,1st time to Burbank and i loved it. i love small airports like this. where the taxi from runway to gate when laning is less than a minute and the taxi from take gate to runway on take-off is less than 5 minutes and also this is mostly a turn an burn airport on take off. where they do not even stop when the get to the end off the runway they just turn around a start the take off roll. not even bother to stop.
7122,"Absolutely love everything about Burbank, just wish there was more food options within the terminals."
7123,Friendly staff and a very easy to maneuver airport that is people friendly. My only discrepancy against BUR is I wish there was more food options.
7124,"Easy and convenient LA area airport with plenty of carries offering great non-stop or one-stop destinations. Food and retail options leave something to be desired, but there is a renovation coming sometime soon."
7125,"I have wanted to fly out of this airport for years and finally got the chance and it lived up to the hype, somewhat. I will get the negative out of the way first and say the interior is outdated. That is my only complaint. It is clean, the staff was extremely helpful and friendly and the airport is very easy to navigate. Parking was not an issue at all as well. It also has a surprisingly wide array of food options for how small it is."
7126,Tiny Airport. Super easy. Smooth security. Only complaint is the painfully expensive concessions/restaurants.
7127,"Good little airport very convenient, but more expensive to fly out of. It's cool the terminal is right next to the runway. The terminal has the small town feel due to its size, parking is easy compared to LAX, but it's limited on the size of aircraft that can land so you most likely won't see anything bigger than a 737 there."
7129,Great views of landing aircraft onto runway 8 from Viineland Ave. See http://www.panoramio.com/photo/54446968
7130,Small and with free WiFi
7135,"Very few food options, the one bar charged $0.85 for tap water which I think is actually illegal in the United States. The food was extremely overpriced and bad. There was no lounge option and the wifi was spotty. They are building an extension so hopefully that will give better retail and food options"
7136,"It is what a regional airport should be. Up to date facilities. Walk to/from car rental lots. Strong WiFi. During peak times, TSA should have a dedicated ID checker for PREV customers."
7137,Small airport so not a lot of food options. The one sports bar is nice and the whole place is super clean. Never a long line to get through security.
7138,"The Cedar Rapids Airport, is a friendly airport, that makes its flyers feel at home. It features many lounges and includes multiple charging stations all around. This airport serves its guest by having a couple of resturants scattered around the area, while maintaining speed during chek-in / TSA / Boarding & Deplaning. I deffinetly recomend the Eastern Iowa Airport."
7139,ULTRA quick through security.
7140,Great airport to transfer through. Both concourses at CHS are connected via a post-security walk-way. Was able to check in for my next flight at the desk at the gate instead of having to re-clear security.
7141,Charleston was a really cool airport to visit since Boeing has a factory on the airport. Our flight was delayed and the airport shuts down at around 6pm.
7142,I was pretty impressed at CHS. Very clean and open; lots of natural light. TSA was quick and friendly. Decent dining options.
7143,"Charleston airport is nice and quaint. Not too busy, very walkable with fine restaurant choice, and great views inside and outside the terminal!!"
7145,"Lots of noisy reconstrution wotk at the moment , hire car parking is an uphill walk to the terminal . Best coffee is before TSA . Would be interesting to see after the work is compleated .Plenty of staff are doing good work despite the rebuilding ."
7147,"Overall a nice airport, but generally overcrowded often for as tight as the gates are at the end of B & C gates. Large lounge between C & D, but is packed often making the lounge worthless."
7148,"Short transfer and it was a breeze, seemed a well thought out airport. Would happily travel through it again."
7149,"Fairly cramped main terminal area, even in the American areas, which is surprising for a hub. The Centurion Lounge is nice, though limited for space, which resulted in a roughly 30-minute wait."
7150,"Clean, great food options and easy to navigate. This is probably the best airport in the Southeastern USA"
7151,Lot of construction at entrance and ticketing. Security checkpoint is a little overwhelming. Give yourself extra time. One inside terminals it was all good.
7152,"Charlotte Airport is quite interesting, it's infested with American jets and clean, and it has nice waiting zones for your airplane."
7153,Easy to navigate airport if it is your departure/destination airport with lots of construction going on to help expand the airport. The free WiFi in The Club CLT and in the general terminal worked well.
7154,Poor Public transport to the airport but traffic is normally not that bad. Check in and security can range from 5-15ms depending on various factors. Terminal is okay. AA lounge is good by American Airlines standards and has an airport view.
7157,"Wonderful entrance into the system, TSA easy, great wifi and bar/restaurant, parking a bit expensive, phone/computer charging stations everywhere"
7158,Flew my discovery flight out of here and the taxiways were very smooth and we felt small against the crj-200s. XD
7159,They have redone the airport and the bar is bigger and there is tons of working space with outlets everywhere. They did a great job.
7160,slow luggage
7161,Had an observation area and clean restrooms. UVA themed.
7162,The modernization of CHA makes it look a lot cleaner and nicer. The staff is still as friendly as always and it is easy to navigate.
7163,Very clean and a very nice quaint little airport with friendly staff. The only issue is the food option is a little underwhelming with only three places to eat i believe which is acceptable for such a small airport.
7164,"Small and very easy to navigate, took about 10 minutes from checkin to getting to my gate. Few small shops and eateries on airside. TSA was very quick. Staff was nice. Only complaint is it was a bit outdated."
7165,"I always love flying through MDW. Very passenger-friendly. A lot of the concessions spots have been revamped to really nice, delicious places. Always enjoy going through."
7166,Dropped from auto rental transport on ground floor and necessary to get to 3rd floor for departure ticketing then down to 2nd level for security and departure gates. New equipment at security and no need to remove shoes or computers from carry on…nice!
7169,"Security is long and a lot of traffic getting there. Overall, good airport for the Chicago area and a better smaller option than O'hare."
7170,"MDW is the better of the Chicago airports speaking strictly from a passenger standpoint. Security lines quick enough, not too crowded, solid enough concessions, easy to get around. Should be the baseline for airports of similar size."
7171,"KMDW is among my favorite airports to use as a passenger. Shortest security lines I've ever seen on a consistent basis, and the new TSA checkpoint upgrade will help. Has a small/cozy enough feel, plenty of quality places to eat."
7172,"Baggage claim was loud due to construction, but it is a positive that they are redesigning the older parts of Midway"
7173,MDW desperately needs some new airlines to fly here. Good move by Volaris and Delta to stay faithful to the airport and not completely move all their flights to ORD.
7174,"An older airport, Midway is still well maintained. It does have decent food and drink options, though many are closed for the pandemic still. Bathrooms are small and feel like those of a middle school, but they work. Fair amount of seating at the gates but again doesn't feel like it presently with many unavailable for social distancing. Overall, it's a decent airport still and great for plane watching, which I truly appreciate."
7176,"I have TSA precheck and my dad drives me to the airport, but it was still smooth sailing at ORD. But did you really fly through ORD if you didn't get dropped off at the wrong side of the airport?"
7177,"The line for customs was long but moved fast enough. The baggage claim wait took a while, over 45 minutes for the bags to come out. But other than that it was OK."
7178,"Delta moving to the International Terminal is a major improvement; Delta used to be tucked in the worst corner of the airport. The new SkyClub at ORD, accordingly, is lovely; it's huge, has multiple buffets, and a Chicago hot dog cart!"
7179,"This was my 2nd time flying out of O’Hare, it was a very nice airport and easy to find our terminal. I recommend arriving 1-2 hours before you flight since as it’s an international airport security can be long. But for us security was quick, if you have kids I recommend flying over night ( like I did ) as it can help pass the time instead of having a kid confined to a seat for 8 hours."
7181,"O'hare is a great airport, and even though it's massive, the facilities are still decently clean, especially in the new terminals."
7182,"I got to take the Terminal C to B tunnel, which is always a fun experience at ORD. As always, lots of retail and decently clean."
7183,"Great airport for transit passengers. There are food options that suits everyone in Terminal 5. The security checking was great, but make sure to be on time as the lines get pretty long."
7184,"As a Canadian, I thought the airports in the USA were terrible and old, but O'Hare blew me away. The architecture, the music and food were so great. If you make a transit in the US from an international trip, choose O'Hare over JFK."
7185,"They do have wifi, but access it you have to put in your name, email, and postcode. I would recommend getting wifi from some of the restaurants."
7186,"Getting To Airport: Traffic was light but quick and easy to get there. Check-In: Check-In went smooth and fast, agents were helpful and kind Security: Security went by fast considering it was a morning flight but TSA agents were nice and easy Terminals: Terminal was easy to navigate and clean. It was not crowded and had plenty of things around WiFi: WiFi ran smooth but had some lags in between :/ Food/Retail: Plenty of options however most were closed :( Lounge: No lounge that I could find :("
7189,"No seperate , fast track for business travelers is biggest disadvantage of CVG. Food services could be better."
7190,"So I flew in, and came back. Getting there was fairly easy, but it was not directly there like I came from BWI. The Terminal can be a bit Empty, but are very nice, Empty because Delta owns a whole Terminal, but has slowly stopped using it as much. Food is good and fast. WiFi is decent. Overall a pretty good airport, 4/5. Theres also an automatic train to get you from one place to the next within the airport."
7191,"Near-complete lack of public transportation from dowtown Cincinnati is just totally inappropriate these days. Otherwise very nice, clean and enjoyable regional airport with the right level of services."
7192,"Pretty empty, small enough to navigate. Wait times are pretty low, 10 mins or so. Still options for shopping, and eating. Only airport domestically whose tram isn't on wheels, which makes it fast, and more smooth."
7193,"Nice airport, easy to get around."
7194,I wouldn't say this place needs updating at all... It is one of the nicest Airports I have ever flown to. What it needs is more contracts with airlines
7195,"Needs some improvements. Easy to navigate. Various food options, but wish there were more amenities. The concourse hallways are small and aging. Security is tight unless you have PreCheck, and even then the majority of people don't have it and are holding everyone who does have it up. Plenty of food options for the airport's size. Bathrooms need cleaning and increasing."
7196,The airport was easily accessible and fast for unloading baggage. The check in was very efficient. The security check only had two officers so it took 1/2 an hour. There were many good food options. The lounge had many seats but they allowed people to move to the other gate's seating area if it got too crowded.
7197,Cleveland Hopkins is a small airport but very clean. It was nice and the people were kind and helpful.
7198,"At least it's not Detroit! Fitting a 777-300er into CLE is hilariously out of place, but made the hub hop more fun."
7199,"Very outdated and long overdue for modernization. However, the airport is easy to navigate, security is generally well managed and United has a comfortable lounge."
7200,I remain puzzled as to why the airport requires long-term parking shuttles to pick up and drop off so remotely. Not convenient and looks shoddy.
7201,"CLE is my home base and therefore am rather partial. However, for ease of security, decent amenities and a very comfortable United Club facility I find traveling in and out of Hopkins low-stress and enjoyable."
7203,"The check-in and facility was alright. Though a couple things needed repairing and there wasn't a lot of staff around, it felt very peaceful and relaxed due to the general lack of people around compared to hubs like O'Hare."
7204,"This airport is connected to the city (and points east) via light rail. As a local resident, this is very helpful because it allows me to park offsite for free and take the train to the airport for a fraction of the cost of parking onsite. The wifi was reliable and quick (downloads went fast and it was reliable enough for me to take and online quiz for one of my classes). The airport itself is OK. Decent food options (there are a few sit down places in addition to fast food - check out local option Great Lakes Brewery) and the usual shopping places. The United Club is very underutilized since this airport was dehubbed, so the club was quite nice and there was plenty of room to stretch out or charge a device. Baggage claim area is fine; the speed of delivery really depends on the airline. For me, it's been anywhere from 10 minutes to 40 minutes waiting. Suggestion: If multiple flights are picking up bags and you are getting picked up at the airport, consider departing from Departures (upstairs) which is almost always less crowded."
7208,"Always an easy in here at Columbia. Fast check-in, fast security and boom. Do wish that the retail locations stayed open a bit longer."
7210,Very nice staff. Quaint little airport with easy check in and very aesthetically pleasing. Clean and has nice foodcourt.
7211,"Airport was clean and thorough. The food choices were great, all of the staff were friendly. Wifi was solid"
7214,"Small-feeling airport for a large city. Easy and quick to get through security. No hassle from check-in through to the gate. But because CMH isn't a large airport, it lacks many facilities like lounges and wide variety in places to eat and drink."
7215,"I was randomly selected for a bag search. I get it, but the place was busy and packed and they were frisking another guy who was TSA Prechecked. That is holding shit up, and we are both TSA Precheck."
7216,A nice sized airport for Class C airspace. It’s easy to get off the plane and get baggage claim.
7217,"Very interesting terminal layout, essentially making it a hallway. Decent food/retail amenities at CMH."
7218,"Columbus was good. Check in was easy but the people behind the counter were aggressive with the bags. I saw a lot of angry passengers. Security was easy and fast. The terminal was ok but a lot of shops were closed. The wifi was pretty bad for a small airport. There was a small news store and it had a lot. The seating near the gate was like any four star airport. Lame, no outlets near the windows. Non comfy. Overall I am going to give it a four."
7219,CMH is my home airport. Decently sized regional airport. Don't expect to see very many boeing or airbus planes. Mostly CRJ or ERJ aircraft.
7220,"No airline has a lounge here, and there is no 3rd party one either. We have Starbucks and a Johnny Rockets. The airport definitely could use a few perks."
7221,"Airport is close to the city and easy to get to by car, taxi, or from downtown by the new AirConnect COTA bus. Terminal is refreshed and is quite nice. WiFi and power throughout the terminal is also a plus. Security lines and check-in lines are always fairly short so you don't have to get to the airport too far in advance. The staff at the airport, including TSA, are generally quite friendly, which is generally not the norm for the industry. The dining and retail options are limited, but there are some good options and finding something to eat or a basic travel necessity shouldn't be difficult. If a flight is arriving late or departing early finding food or shops open is quite difficult. Overall a very nice airport."
7222,"The airport is nice, security is very quick and they are quite professional. Gate staff is friendly as well and the area is well-maintained."
7224,Airport was clean and there was a very good selection of food and beverage with the many restaurants. Quite busy and lack of charging stations. TSA line was reasonable.
7226,"Not a lot to write home about in terms of great facilities, but it's relatively easy to get around this massive airport that's all connected airside with a well-run people-mover."
7227,"Departure and Arrival for roundtrip was from Terminal E. One of the best things about DFW is the parking garages across from the terminal. I was able to park directly across from the TSA Pre entry area. This is my favorite terminal. For a midday departure, the airport was busy but not overcrowded thanks to the wide concourses and spacious seating areas. Dining options are plentiful. This is my favorite terminal at DFW. WiFi was easy to connect too and very fast. Bathrooms were very clean."
7228,"Dfw has always been a walk in the park for security, no matter what terminal I go to it seems I am to my gate within minutes. Now delays are a different story, out of the several times I have flown out of this airport, not one has been close to on time."
7229,"The national departure area is very confusing. Everything was overcrowded, confusing and it was not possible to get tickets next to each other even if you showed up on time."
7230,"Departure from Terminal C. Usually Terminal C is very crowded; however, given the early hour of my outbound flight, the terminal was not too busy. Got through security with a minimal wait time courtesy of TSA Pre privileges. I can't rate any dining options as they were closed given my early departure 5:30 a.m. Inbound flight arrival was at Terminal E my favorite terminal. Both Terminal C and E have wide open concourses and plenty of dining options. The terminal is brightly lit with a wide open concourse and plenty of dining options charging points at every gate. Lavatories were clean. I can't rate WiFi as I did not connect to it."
7232,"Best airport I have ever been to. Great food options, long walk though. Terminal C is a bit dingy, but I hear it will be getting renovated soon."
7233,I loved ariving at this airport the tram system took me across the airport fairly quickly and the 7/11 there was cheap.
7234,"I had no idea that airports could close, and then Southwest got me here past midnight, I got there to a closed airport."
